,fsq_id,categorias,nome,lat,lon,endereco,cidade,bairro,cat_nome,cat_id,cat_sup
214,55629d44498ea638f09977e8,"[{'id': 10032, 'name': 'Night Club', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/nightclub_', 'suffix': '.png'}}, {'id': 13003, 'name': 'Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/pub_', 'suffix': '.png'}}, {'id': 13029, 'name': 'Brewery', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/brewery_', 'suffix': '.png'}}]",Cervejaria da Tuka,-30.070891,-51.175144,"Rua Paineira, Porto Alegre, Porto Alegre, RS, 91510-070",Porto Alegre,,Night Club,10032,Arts & Entertainment
215,4fec5d2fe4b08786644f05aa,"[{'id': 10026, 'name': 'Indie Movie Theater', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/arts_entertainment/movietheater_', 'suffix': '.png'}}]",Sala Multimídia CTBM,-30.070239,-51.186792,"Porto Alegre, RS",Porto Alegre,,Indie Movie Theater,10026,Arts & Entertainment
216,505620f1e4b0c6b686ba8365,"[{'id': 13040, 'name': 'Dessert Shop', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/dessert_', 'suffix': '.png'}}]",Marrom Glace,-30.015396,-51.118062,"Avenida Baltazar de Oliveira, Porto Alegre, RS",Porto Alegre,,Dessert Shop,13040,Food
217,5185ccb3498e495ee73566b2,"[{'id': 10037, 'name': 'Concert Hall', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/arts_entertainment/musicvenue_', 'suffix': '.png'}}, {'id': 13007, 'name': 'Beer Garden', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/beergarden_', 'suffix': '.png'}}]",Samba da Galeria,-30.014679,-51.113809,"Avenida Baltazar de Oliveira Garcia, 3140, Porto Alegre, RS, 91180-000",Porto Alegre,,Concert Hall,10037,Arts & Entertainment
218,51decd2b498e25ff44264f88,"[{'id': 13065, 'name': 'Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}}]",Feiticeiro Lanches,-30.014607,-51.120017,"Avenida Baltazar de Oliveira Garcia 2560 Rubem Berta, Porto Alegre, RS, 91150-001",Porto Alegre,,Restaurant,13065,Food
219,4f313cdee4b0e6be3adff413,"[{'id': 13079, 'name': 'Brazilian Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/argentinian_', 'suffix': '.png'}}]",Natacha,-30.015501,-51.11347,"Avenida Baltazar de Oliveira Garcia, 3167, Porto Alegre, RS, 91150-001",Porto Alegre,,Brazilian Restaurant,13079,Food
220,4f03e346e30090dfdb56741c,"[{'id': 13003, 'name': 'Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/pub_', 'suffix': '.png'}}, {'id': 13065, 'name': 'Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}}]",Boteco Bilhar,-30.015193,-51.114762,"Avenida Baltazar de Oliveira Garcia, 3000, Porto Alegre, RS, 91150-000",Porto Alegre,,Bar,13003,Food
221,572df5ef498e8539a48f283e,"[{'id': 11061, 'name': 'Health and Beauty Service', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/salon_barber_', 'suffix': '.png'}}]",Salão do Pedaço,-30.010416,-51.117237,,,,Health and Beauty Service,11061,Colleges & Universities
222,53ab57c8498ea40e46a5c0db,"[{'id': 13030, 'name': 'Buffet', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}}, {'id': 13276, 'name': 'Sushi Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/sushi_', 'suffix': '.png'}}]",Rafa Sushi,-30.015501,-51.110116,"Avenida Baltazar de Oliveira Garcia, 3422, Porto Alegre, RS, 91180-000",Porto Alegre,,Buffet,13030,Food
223,504d3e03e4b00e670d5f11e2,"[{'id': 13003, 'name': 'Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/pub_', 'suffix': '.png'}}, {'id': 13031, 'name': 'Burger Joint', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/burger_', 'suffix': '.png'}}, {'id': 13034, 'name': 'Café', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/cafe_', 'suffix': '.png'}}]",Tripulanches,-30.015193,-51.114762,"Avenida Baltazar de Oliveira Garcia , 3028, Porto Alegre, RS, 91150-000",Porto Alegre,,Bar,13003,Food
224,4d60355e865a224bcc60a885,"[{'id': 18064, 'name': 'Soccer Field', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/arts_entertainment/stadium_soccer_', 'suffix': '.png'}}]",Hb Esportes,-30.01521,-51.11557,"Avenida Baltazar de Oliveira Garcia, 3100, Porto Alegre, RS, 91150-000",Porto Alegre,,Soccer Field,18064,Shops & Services
225,4f73b60ce4b0f3ab57f359f4,"[{'id': 13079, 'name': 'Brazilian Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/argentinian_', 'suffix': '.png'}}]",Rancho do Xis,-30.015501,-51.110116,"Avenida Baltazar de Oliveira Garcia, 3398, Porto Alegre, RS, 91180-000",Porto Alegre,,Brazilian Restaurant,13079,Food
226,4e31a6d61495f249f76e0c76,"[{'id': 11073, 'name': 'Spa', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/spa_', 'suffix': '.png'}}]","Clínica Minuzzi - Cirurgia Plástica, Endocrinologia, Dermatologia",-30.079906,-51.244863,"Avenida Pinheiro Borda, 491 (Próximo ao Barra Shopping), Porto Alegre, RS, 90810-160",Porto Alegre,,Spa,11073,Colleges & Universities
227,4b6f0c9cf964a5208ad92ce3,"[{'id': 10028, 'name': 'Art Museum', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/arts_entertainment/museum_art_', 'suffix': '.png'}}]",Fundação Iberê Camargo,-30.077688,-51.245332,"Avenida Padre Cacique, 2000, Porto Alegre, RS, 90810-240",Porto Alegre,,Art Museum,10028,Arts & Entertainment
228,4fa042cfe4b0f2a774953025,"[{'id': 16000, 'name': 'Landmarks and Outdoors', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/parks_outdoors/default_', 'suffix': '.png'}}]",Prainha do Iberê,-30.076974,-51.244744,"Avenida Edvaldo Pereira Paiva, 5081, Porto Alegre, RS",Porto Alegre,,Landmarks and Outdoors,16000,Professional & Other Places
229,4c27b0c79fb5d13a22749857,"[{'id': 13034, 'name': 'Café', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/cafe_', 'suffix': '.png'}}]",Press Café,-30.077654,-51.245392,"Fundação Iberê Camargo, Porto Alegre, RS, 90810-240",Porto Alegre,,Café,13034,Food
230,4eb58b37469073bbc632f731,"[{'id': 16053, 'name': 'Waterfront', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/parks_outdoors/river_', 'suffix': '.png'}}]",Orla do Guaiba,-30.08306,-51.246357,"Avenida Diário de Notícias, Porto Alegre, RS, 90110-060",Porto Alegre,,Waterfront,16053,Professional & Other Places
231,4d4422df1b62b1f75d61efe2,"[{'id': 17069, 'name': 'Grocery Store / Supermarket', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/food_grocery_', 'suffix': '.png'}}]",Supermercado Fagherazzi,-30.082141,-51.241229,"Avenida Capivari, 550, Porto Alegre, RS, 90810-070",Porto Alegre,,Grocery Store / Supermarket,17069,Residences
232,5d9291800c5ce000087b6567,"[{'id': 13046, 'name': 'Ice Cream Parlor', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/icecream_', 'suffix': '.png'}}]",Bacio Di Latte,-30.084001,-51.245278,"Diário de Notícias, 300, Porto Alegre, RS, 90810-080",Porto Alegre,,Ice Cream Parlor,13046,Food
233,4b92b325f964a520fe1234e3,"[{'id': 17098, 'name': 'Music Store', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/music_instruments_', 'suffix': '.png'}}, {'id': 17096, 'name': 'Miscellaneous Store', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/default_', 'suffix': '.png'}}]",Made in Brazil Music Megastore,-30.083564,-51.245757,"Avenida Diário de Notícias, 300 (Nível Guaíba - 2099), Porto Alegre, RS, 90810-080",Porto Alegre,,Music Store,17098,Residences
234,4d7151aa117e370497349db7,"[{'id': 17043, 'name': 'Clothing Store', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/apparel_', 'suffix': '.png'}}]",Ellus,-30.089634,-51.248859,"Avenida Diário de Notícias, 300 (Nível Jockey - 1017/1018), Porto Alegre, RS, 90810-080",Porto Alegre,,Clothing Store,17043,Residences
235,4ba2ccbef964a5203c1a38e3,"[{'id': 17043, 'name': 'Clothing Store', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/apparel_', 'suffix': '.png'}}]",Zara,-30.084182,-51.245471,"Avenida Diário de Notícias, 300 (Nível Jockey - 1007/1008), Porto Alegre, RS, 90810-080",Porto Alegre,,Clothing Store,17043,Residences
236,4ddf9c4ce4cde756db370ab7,"[{'id': 13065, 'name': 'Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}}]",Nostro Sabore,-30.01467,-51.157717,"Rua Álvares Cabral, 453 (R. Umbú), Porto Alegre, RS, 91350-250",Porto Alegre,,Restaurant,13065,Food
237,4d594bd056f2b60c7f8b772f,"[{'id': 13032, 'name': 'Cafes, Coffee, and Tea Houses', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}}, {'id': 13065, 'name': 'Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}}]",Bonaggio Bar & Restaurante,-30.014793,-51.159274,"Rua Umbú, 1544, Porto Alegre, RS, 91350-100",Porto Alegre,,"Cafes, Coffee, and Tea Houses",13032,Food
238,4feb6918e4b0bfcf14a0461f,"[{'id': 15023, 'name': 'Nutritionist', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/building/medical_doctorsoffice_', 'suffix': '.png'}}]",Casa Natural Armazém,-30.017481,-51.155968,"Rua Sapê, 800, Porto Alegre, RS, 91350-050",Porto Alegre,,Nutritionist,15023,Outdoors & Recreation
239,51990e9e8bbd0e0400d68d05,"[{'id': 17003, 'name': 'Arts and Crafts Store', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/artstore_', 'suffix': '.png'}}]",Magia das Cores,-30.015032,-51.152453,"Avenida do Forte, 520, Porto Alegre, RS, 91360-000",Porto Alegre,Cristo Redentor,Arts and Crafts Store,17003,Residences
240,5059137ae4b0a3bd5584409b,"[{'id': 17037, 'name': 'Eyecare Store', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/building/medical_opticalshop_', 'suffix': '.png'}}]",Ojo by Mr. Ray,-30.01314,-51.160504,"Bourbon Wallig (3º Piso), Porto Alegre, RS, 91010-006",Porto Alegre,,Eyecare Store,17037,Residences
